Treatment_Group,Snail_Number,Nylon_Fiber,PET_Fiber
Low,1,8,2
Low,2,4,1
Low,3,7,3
Low,4,2,1
Low,5,11,2
Low,6,15,2
Low,7,7,3
Low,8,3,3
Low,9,11,7
Low,10,7,4
Low,11,9,5
Low,12,10,4
Low,13,13,2
Low,14,5,6
Low,15,3,1
Low,16,13,5
Medium,17,4,1
Medium,18,2,3
Medium,19,5,0
Medium,20,5,0
Medium,21,7,3
Medium,22,3,3
Medium,23,5,3
Medium,24,4,2
Medium,25,9,4
Medium,26,8,6
Medium,27,5,4
Medium,28,3,2
Medium,29,4,3
Medium,30,6,1
Medium,31,6,2
High,32,24,18
High,33,13,32
High,34,3,5
High,35,5,0
High,36,9,4
High,37,30,56
High,38,14,4
High,39,8,1
High,40,36,4
High,41,5,1
High,42,1,2
High,43,33,36
High,44,11,5
High,45,21,78
High,46,8,4
Control,47,7,3
Control,48,3,1
Control,49,4,3
Control,50,4,1
Control,51,4,2
Control,52,2,1
Control,53,3,3
Control,54,2,0
Control,55,2,1
Control,56,4,0
Control,57,3,1
Control,58,2,2
Control,59,4,0
Control,60,1,2
Control,61,3,3
Control,62,3,0
Control,63,4,1
Control,64,4,1
